text,sentiment
Movie had distracting glitches.,negative
Movie had terrible acting and script.,negative
Hotel had broken thermostat.,negative
Better than all competitors!,positive
Please review the updated manual.,neutral
Please use the new submission form.,neutral
Please check the updated policies.,neutral
Movie theater seats were dirty.,negative
Works better than competitors!,positive
Construction noise all day.,negative
Movie theater had broken seats.,negative
Saved me from expensive alternatives!,positive
Service was quick and professional.,positive
Neighbor's trash smells terrible.,negative
Construction caused plumbing issues.,negative
Food delivery was an hour late.,negative
All applications must be submitted online.,neutral
Better than premium brands!,positive
"Bought another as a gift, that good!",positive
Exceeded all my expectations!,positive
New vacation rollover policy.,neutral
Please check the shared calendar.,neutral
Solved my problem instantly!,positive
Better than specialty products!,positive
Works exactly how I need it to!,positive
Package was left in the open.,negative
Restaurant was out of high chairs.,negative
New software update is available.,neutral
Package was left in direct sunlight.,negative
Waiter forgot our order twice.,negative
Store had no working restrooms.,negative
Best value for the money!,positive
Saved me countless hours!,positive
Exceeded my high expectations!,positive
New performance evaluation process.,neutral
Works exactly how I need it!,positive
Store had no customer assistance.,negative
Five stars aren't enough for this!,positive
"Such a comfortable mattress, sleeping great!",positive
"Instructions were unclear, wasted my time.",negative
Perfect for my outdoor activities!,positive
Most energy-efficient model!,positive
Works perfectly with my routine!,positive
Package was left in the snow.,negative
Found a cheaper alternative elsewhere.,negative
New security cameras active.,neutral
Perfect for my small bathroom!,positive
Please silence all mobile devices.,neutral
Food portions were too small.,negative
Best decision I've made all year!,positive
Please silence phones during presentation.,neutral
New attendance policy effective.,neutral
New work flexibility options.,neutral
Restaurant was too noisy to converse.,negative
Hotel had no late check-in.,negative
Please review the new guidelines.,neutral
Store had everything out of stock.,negative
Please use the new email template.,neutral
Quality exceeds the price point!,positive
Hotel had noisy hallway.,negative
Please use the new dashboard.,neutral
New badge access system.,neutral
Most affordable quality product!,positive
"The weather today is just okay, nothing special.",neutral
Perfect gift for any occasion!,positive
New project management tool.,neutral
Movie theater was freezing cold.,negative
New work-life balance initiatives.,neutral
Room service forgot our order.,negative
Restaurant had dirty tables.,negative
Neighbor's lights are blinding.,negative
Hotel had broken bathroom door.,negative
Solved all my storage problems!,positive
Exactly the right tool I needed!,positive
Solved all my problems instantly!,positive
"My package never arrived, very frustrating.",negative
Website requires too many permissions.,negative
Most stylish option available!,positive
Best service I've experienced!,positive
New recycling bins installed.,neutral
Hotel charged extra fees unexpectedly.,negative
All team leads must attend briefing.,neutral
New performance metrics.,neutral
Parking available in the rear of building.,neutral
New software licenses have arrived.,neutral
Package was left in the rain.,negative
Couldn't be happier with quality!,positive
Restaurant had dirty silverware.,negative
Most stylish and practical!,positive
Most comfortable shoes I've ever worn!,positive
Hotel charged for amenities we didn't use.,negative
Neighbor's car blocks my driveway.,negative
Construction blocked my entrance.,negative
New benefits package is announced.,neutral
Please use the new portal login.,neutral
New break room supplies arrived.,neutral
New badge access procedures.,neutral
Works better than professional tools!,positive
Restaurant had no high chairs.,negative
Couldn't be happier with results!,positive
Food delivery forgot the main course.,negative
Works exactly as I need it to!,positive
New parental leave policy.,neutral
Perfect for my productivity!,positive
Exactly matches my vision!,positive
Store had broken displays everywhere.,negative
Works perfectly right away!,positive
Customer support was rude and unhelpful.,negative
Taxi had no working meter.,negative
New health benefits are available.,neutral
New project timeline announced.,neutral
Team lunch is scheduled for noon.,neutral
Perfect for my weekend trips!,positive
Hotel had no hot water pressure.,negative
New health initiative launched.,neutral
Flight had no charging ports.,negative
Store had rude cashiers.,negative
The item arrived on time and works as expected.,neutral
New document signing procedure.,neutral
Couldn't have asked for more!,positive
All expense reports must be submitted.,neutral
Neighbor's parties are too frequent.,negative
Movie had no subtitles available.,negative
Conference had no water stations.,negative
Restaurant had unfriendly waitstaff.,negative
Food delivery was incorrect.,negative
Saved me from buying wrong item!,positive
Movie had no captions for hearing impaired.,negative
Perfect for my creative projects!,positive
New time tracking procedures.,neutral
Hotel had no extra pillows.,negative
Exactly what the doctor ordered!,positive
Saved me from expensive repairs!,positive
Software license expired unexpectedly.,negative
App keeps freezing on my phone.,negative
Most intuitive software I've used!,positive
New break room fridge is installed.,neutral
Store had very limited selection.,negative
New work flexibility options available.,neutral
Conference wifi didn't work properly.,negative
Please review the code of conduct.,neutral
Exactly matches the description!,positive
Food was bland and overpriced.,negative
New recycling program starts.,neutral
"Perfect for my needs, highly recommend!",positive
Package was left at wrong house.,negative
Air conditioning wasn't working in summer.,negative
New ID card pickup scheduled.,neutral
Conference had no healthy options.,negative
Better than luxury brands!,positive
Most stylish and functional!,positive
Neighbor's parties are excessive.,negative
Best value for money I've found!,positive
Conference had no wheelchair ramps.,negative
Please review the handbook.,neutral
Better than luxury alternatives!,positive
Food delivery got the order wrong.,negative
All employees must participate.,neutral
"These cookies taste homemade, delicious!",positive
Taxi had broken seat belts.,negative
Restaurant had limited parking.,negative
Perfect for my artistic projects!,positive
Store had incorrect signage.,negative
Neighbor's dog destroyed my garden.,negative
Please use the new templates.,neutral
Taxi smelled like cigarettes.,negative
Restaurant had slow bartender.,negative
Store had no price scanners.,negative
Better than high-end versions!,positive
Neighbor's car alarm goes off nightly.,negative
Hotel pool was closed for repairs.,negative
Most affordable high-quality option!,positive
Saved me from expensive repairs!,positive
Fast shipping and well packaged.,positive
Most comfortable home purchase ever!,positive
Concert sound system had issues.,negative
Perfect for my small space needs!,positive
New break room coffee machine.,neutral
Please check the staff portal.,neutral
Team meeting moved to conference room B.,neutral
Exactly what I was looking for!,positive
Restaurant messed up our bill.,negative
Please use the new time tracking system.,neutral
Please update your contact information.,neutral
Most comfortable purchase ever!,positive
Delivery guy was impatient and rude.,negative
Please submit your ideas by email.,neutral
Food delivery was missing items.,negative
"Exactly as described, very happy!",positive
Office will be closed for holidays.,neutral
Food was cold and service was slow.,negative
Package was left in the sun.,negative
Restaurant had hair in the food.,negative
Store clerk ignored me completely.,negative
Most affordable quality option!,positive
Most comfortable purchase!,positive
Please submit vacation requests early.,neutral
Fire extinguishers have been inspected.,neutral
This app has changed my life for the better!,positive
Most energy-efficient model available!,positive
Conference had no vegan options.,negative
Battery life is shorter than advertised.,negative
All staff must complete assessment.,neutral
Perfect for travel and compact!,positive
Solved my space issues completely!,positive
Taxi driver didn't know the area.,negative
Most efficient tool I've used!,positive
Movie was sold out when we arrived.,negative
Most efficient service available!,positive
Most reliable brand on market!,positive
Kids haven't stopped playing with it!,positive
Flight had uncomfortable seats.,negative
All managers must submit reports.,neutral
Restaurant had rude hostess.,negative
Maintenance scheduled for this weekend.,neutral
Perfect for my meditation practice!,positive
Highly recommend to all my friends!,positive
Couldn't be happier with purchase!,positive
Park opens at 6 AM during summer.,neutral
Best service at this price point!,positive
Hotel lost our reservation.,negative
Perfect for my home gym!,positive
The sunset view from here is breathtaking!,positive
New safety equipment has arrived.,neutral
Solved my issue in no time!,positive
Best service in the industry!,positive
Most reliable car I've ever owned.,positive
Works flawlessly without issues!,positive
Most affordable quality option!,positive
Restaurant had limited seating.,negative
Perfect for my small apartment!,positive
All teams must submit plans.,neutral
Restaurant had dirty menus.,negative
New parental leave policy effective.,neutral
Saved me so much space!,positive
These headphones have incredible sound quality!,positive
Restaurant had unfriendly staff.,negative
New break room rules posted.,neutral
Check-in begins at 3 PM sharp.,neutral
Movie tickets were overpriced for value.,negative
New parking validation system in place.,neutral
Couldn't be more pleased!,positive
Exactly what my space needed!,positive
Couldn't be more satisfied!,positive
Perfect for my morning smoothies!,positive
New recycling bins have been delivered.,neutral
Neighbor's lights shine in my windows.,negative
All reports must be submitted.,neutral
Taxi driver was talking on phone.,negative
Solved my organizational chaos!,positive
New review process in place.,neutral
Please use the new login system.,neutral
New evaluation system implemented.,neutral
Restaurant had long wait for table.,negative
Please review the handbook updates.,neutral
New parking rules take effect Monday.,neutral
Best investment I've ever made!,positive
Taxi driver was smoking.,negative
Instructions were in wrong language.,negative
All reports must be filed by Friday.,neutral
Please check the updated guidelines.,neutral
Food delivery was incorrect order.,negative
Office will close early on Christmas Eve.,neutral
Please review the attached document.,neutral
New parental policy effective.,neutral
Better than name brands!,positive
All staff must wear ID badges.,neutral
Attention to detail is impressive!,positive
Works exactly how I wanted!,positive
Please reply to this email by Friday.,neutral
Works perfectly every single time!,positive
Annual budget review is next week.,neutral
Perfect for my specific needs!,positive
Works seamlessly with my apps!,positive
Conference room was too warm.,negative
Perfect for my outdoor adventures!,positive
New break room supplies.,neutral
Store had misleading advertisements.,negative
Customer service never replied.,negative
The document needs to be reviewed by Friday.,neutral
Please review the guidelines.,neutral
Order was wrong and missing items.,negative
Teacher explains everything so clearly!,positive
New remote work policy announced.,neutral
New project assignments are posted.,neutral
Most energy-saving purchase!,positive
New performance review process.,neutral
Solved my problem effortlessly!,positive
All teams must improve efficiency.,neutral
Food delivery was cold when arrived.,negative
Construction woke me up early.,negative
New security training required.,neutral
Saved me so much time and effort!,positive
Please check the company updates.,neutral
Movie theater had broken AC.,negative
Saved me so much hassle!,positive
New recycling policy starts today.,neutral
Solved my problem completely!,positive
New ID badge photos scheduled.,neutral
Hotel had no late check-out option.,negative
Best coffee I've ever tasted!,positive
"The movie was fantastic, highly recommend!",positive
All staff must read the memo.,neutral
Construction noise starts at 7 AM.,negative
New camera system installed.,neutral
All teams must reduce waste.,neutral
New break room microwave.,neutral
Worth staying up late to finish!,positive
Solved my organization issues!,positive
Better than store-bought versions!,positive
Restaurant had limited options.,negative
Most versatile tool in my kit!,positive
Hotel had no extra blankets.,negative
The food at this restaurant is delicious!,positive
Couldn't live without it now!,positive
Product broke after just two days of use.,negative
All employees must attend.,neutral
New security procedures are in place.,neutral
Food delivery forgot the sides.,negative
New break room refrigerator.,neutral
Construction blocked my street.,negative
All teams must reduce expenses.,neutral
Hotel had no hot water.,negative
Conference had no presentation screens.,negative
New dress code takes effect immediately.,neutral
Saved me hours of work daily!,positive
"Worth the wait, amazing quality!",positive
Restaurant had a bug in salad.,negative
Conference had no seating charts.,negative
Exactly matches my style!,positive
All employees must sign the log.,neutral
Taxi meter was running too fast.,negative
Taxi driver was reckless.,negative
Please check the company blog.,neutral
"Life-changing product, no exaggeration!",positive
"Kids loved it, kept them entertained!",positive
Movie had poor audio mixing.,negative
Works flawlessly with no issues!,positive
Flight was diverted unnecessarily.,negative
Meeting room has been changed to 402.,neutral
All teams must meet targets.,neutral
New break room policy is in effect.,neutral
Conference room was double-booked.,negative
Restaurant had limited hours.,negative
New recycling initiative starts.,neutral
All staff must wear name badges.,neutral
Website doesn't remember my preferences.,negative
Please check the policy changes.,neutral
Made my daily routine so much easier!,positive
All expenses must be itemized.,neutral
Hotel had no working phone.,negative
Taxi driver got lost twice.,negative
Package arrived with items missing.,negative
I absolutely love this product! It's amazing.,positive
Please review the safety procedures.,neutral
Please use the new portal.,neutral
Couldn't have asked for better!,positive
New safety training scheduled.,neutral
Movie had terrible lighting.,negative
Fixed my issue in minutes!,positive
Please review the safety manual.,neutral
Saved me countless hours weekly!,positive
Training materials are in the shared folder.,neutral
Fixed my issue before I even asked!,positive
Store had no bags available.,negative
Exactly what my recipe needed!,positive
Construction noise all weekend.,negative
Package was left at wrong door.,negative
Works flawlessly every time!,positive
Perfect for my travel needs!,positive
Worth every single penny!,positive
Exactly the aesthetic I wanted!,positive
Please use the new software.,neutral
New vacation policy updates.,neutral
New ID verification process.,neutral
Solved my issue permanently!,positive
Hotel charged extra cleaning fees.,negative
New time-off system implemented.,neutral
Restaurant was out of clean glasses.,negative
Perfect for my exercise routine!,positive
Package was damaged during shipping.,negative
Exactly what my home needed!,positive
Tour guide was uninformed and boring.,negative
Flight attendant spilled drink on me.,negative
New security protocols effective.,neutral
Construction blocked sidewalk.,negative
Solved all my organization needs!,positive
Fast response to my inquiry!,positive
New security awareness program.,neutral
Please use the updated system.,neutral
Project deadline extended to Monday.,neutral
New parking permits available now.,neutral
Perfect for my daily needs!,positive
Perfect for my skincare routine!,positive
App notifications are too frequent.,negative
New security cameras installed.,neutral
Taxi had no trunk space.,negative
Please use the new interface system.,neutral
Solved my storage dilemma!,positive
Movie theater seats were torn.,negative
Please update your emergency contacts.,neutral
Flight had screaming children.,negative
Taxi had no child seats available.,negative
Extremely satisfied with my purchase!,positive
Movie theater had sticky floors.,negative
Summer hours begin next week.,neutral
Package was left in the rain.,negative
New access control system.,neutral
Works perfectly with no problems!,positive
All managers must attend the retreat.,neutral
Perfect for my small space!,positive
Fire drill will be conducted tomorrow.,neutral
All staff must complete certification.,neutral
Please check the updated manual.,neutral
Better than name brand products!,positive
New recycling bins delivered.,neutral
Couldn't ask for better quality!,positive
New vacation request system.,neutral
Food delivery was late again.,negative
Conference had terrible organization.,negative
Please use the new interface.,neutral
Hotel had stained bedding.,negative
All teams must meet new targets.,neutral
Best in its category by far!,positive
Exactly the right amount!,positive
Flight had no vegetarian meal.,negative
New time tracking software is live.,neutral
All expense forms must be signed.,neutral
"Website is impossible to navigate, terrible design.",negative
Movie theater seats were uncomfortable.,negative
New project timeline released.,neutral
Better than the leading brand!,positive
Works seamlessly across devices!,positive
Please check the staff notices.,neutral
"Such an inspiring book, couldn't put it down!",positive
New ID badge requirements.,neutral
Perfect for my small kitchen!,positive
New training modules are available.,neutral
Works perfectly with no setup!,positive
Flight was delayed for 8 hours with no updates.,negative
All reports must be accurate.,neutral
Website has too many pop-up ads.,negative
Conference had no handicap parking.,negative
Conference call details have been emailed.,neutral
Plumber arrived 3 hours late.,negative
New employee handbook is available.,neutral
Neighbor's leaves clog my gutters.,negative
All teams must reduce costs.,neutral
Food delivery was late and cold.,negative
Saved me so much time daily!,positive
Restaurant lost our reservation.,negative
New document management system.,neutral
Please check the company updates.,neutral
Please submit your reports by end of day.,neutral
Movie had terrible plot holes.,negative
Neighbor's trash blows into my yard.,negative
Exactly the right size and shape!,positive
Store had no price tags visible.,negative
Please use the new dashboard system.,neutral
Flight was overbooked and chaotic.,negative
Website requires too much personal info.,negative
Couldn't recommend more highly!,positive
Better than I imagined possible!,positive
Construction blocked my driveway.,negative
Perfect for my camping trips!,positive
New time tracking requirements.,neutral
Most comfortable home purchase!,positive
Package was left in unsafe spot.,negative
Please use the new system.,neutral
Taxi had broken air vents.,negative
All staff must complete training.,neutral
"Best birthday present ever, thank you!",positive
Perfect for my creative needs!,positive
Product arrived with scratches.,negative
All staff must read updates.,neutral
Best service I've received anywhere!,positive
Room was dirty and smelled bad when we arrived.,negative
Food delivery forgot the condiments.,negative
Highly effective cleaning products!,positive
All teams must reduce spending.,neutral
Flight had no vegetarian options.,negative
New security measures in place.,neutral
New break room rules effective.,neutral
Perfect for my home office!,positive
Restaurant had very slow service.,negative
All employees must attend training.,neutral
Best customer service experience!,positive
New policy takes effect starting next month.,neutral
New vacation policy changes.,neutral
New work-from-home policy.,neutral
Movie had terrible sound quality.,negative
Restaurant was out of main dishes.,negative
Hotel room had bugs and was unacceptable.,negative
Exactly what my kitchen needed!,positive
Please check the staff bulletin.,neutral
Conference had poor ventilation.,negative
New remote work policy changes.,neutral
Works better than expected!,positive
Store had no customer service desk.,negative
Annual performance reviews upcoming.,neutral
New performance metrics established.,neutral
Please review the procedures manual.,neutral
New safety drills scheduled.,neutral
Food delivery forgot the sauce.,negative
New ID badge pickup process.,neutral
Best customer support available!,positive
Fastest delivery I've ever seen!,positive
New safety equipment required.,neutral
Please sign the attendance sheet.,neutral
Most comfortable shoes I own!,positive
Neighbor's dog barks constantly.,negative
All teams must reduce paper use.,neutral
Customer for life after this experience!,positive
Product was much smaller than expected.,negative
Works better than professional grade!,positive
Taxi interior was dirty and smelly.,negative
Flight had no overhead bin space.,negative
New health benefits options.,neutral
Hotel had stained towels.,negative
Please confirm your attendance.,neutral
Documents should be signed in blue ink.,neutral
Tour was rushed and incomplete.,negative
Food delivery forgot the drinks.,negative
Package was left at wrong door.,negative
"Exactly what I needed, thank you!",positive
Better than all alternatives!,positive
Please check the policy updates.,neutral
The meeting was scheduled for 3 PM tomorrow.,neutral
New vacation accrual changes.,neutral
Gardening tools are durable and well-made.,positive
All staff must attend meeting.,neutral
Food was undercooked and unsafe.,negative
Works better than I expected!,positive
Package was left at wrong apartment.,negative
Restaurant had limited menu.,negative
New parental leave benefits.,neutral
Please check the staff updates.,neutral
Restaurant messed up our order twice.,negative
Solved my storage issues completely!,positive
Most durable product available!,positive
Most intuitive interface I've used!,positive
All teams must conserve energy.,neutral
Solved my problem completely!,positive
Restaurant had slow kitchen.,negative
New document retention policy.,neutral
Staff made me feel so welcome!,positive
All departments must reduce expenses.,neutral
Perfect for my daily organization!,positive
Hotel had no extra blankets.,negative
Exactly the right features!,positive
Better than anything else I've tried!,positive
Hotel had dirty bathroom.,negative
Conference had no vegetarian options.,negative
Attention to detail is remarkable!,positive
"Staff remembered my name, so personal!",positive
Flight had uncomfortable seating.,negative
All reports must be accurate.,neutral
New security cameras have been installed.,neutral
Couldn't recommend highly enough!,positive
New time-off system is now live.,neutral
Couldn't have made a better choice!,positive
Perfect for beginners like me!,positive
New vacation policy is effective.,neutral
Movie theater seats were broken.,negative
New dress code policy starts Monday.,neutral
Wish I had found this sooner!,positive
Package was delivered to wrong address.,negative
Best gift I've received!,positive
Works exactly as advertised!,positive
Construction blocked my parking.,negative
All teams must reduce waste.,neutral
Will definitely buy again!,positive
Hotel had broken bathroom fixtures.,negative
Best quality at this price!,positive
Hotel had no early check-in option.,negative
All staff must read updates.,neutral
Works exactly as promised!,positive
Perfect gift for any tech lover!,positive
New project deadlines set.,neutral
All employees must sign forms.,neutral
New flexible work arrangements.,neutral
New security training required.,neutral
Perfect for my home workouts!,positive
Hotel had no luggage carts.,negative
Flight had no legroom at all.,negative
Please review the new policies.,neutral
Solved my storage problem entirely!,positive
New remote work guidelines effective.,neutral
Works seamlessly with all my devices!,positive
Please review the new handbook.,neutral
Solved my issue immediately!,positive
Store had no shopping carts.,negative
Cashier was arguing with a customer.,negative
Neighbor's party went until 4 AM.,negative
Hotel had no room service.,negative
Hotel had noisy neighbors.,negative
Taxi had broken door handles.,negative
Most comfortable shoes I've worn!,positive
New parking permits are available.,neutral
All reports must be filed timely.,neutral
New parking allocation system.,neutral
Most energy-efficient choice!,positive
Please check the shared drive.,neutral
Most stylish and functional item!,positive
Neighbor's music shakes my walls.,negative
Best investment I've made this year!,positive
Works better than I imagined!,positive
All staff must complete training modules.,neutral
Works perfectly right out of the box!,positive
Flight was canceled last minute.,negative
Better than professional versions!,positive
All departments must cut costs.,neutral
Store had misleading sales signs.,negative
Package was left in the driveway.,negative
Movie theater had sticky floors.,negative
New health screening requirements.,neutral
Conference had no seating left.,negative
Perfect for my art projects!,positive
New health initiative options.,neutral
All teams must meet objectives.,neutral
New wellness program benefits.,neutral
Food delivery was missing utensils.,negative
Most comfortable everyday item!,positive
Couldn't be happier with service!,positive
New camera surveillance policy.,neutral
Flight had no leg room.,negative
All reports must be complete.,neutral
Conference room was too cold.,negative
Flight attendant was dismissive.,negative
Please review the meeting minutes.,neutral
Please check the latest memo.,neutral
Couldn't be happier with my choice!,positive
All staff must read policy.,neutral
All employees must attend the workshop.,neutral
Most energy-saving appliance!,positive
All staff must complete the training.,neutral
Best purchase in a long time!,positive
All staff must attend briefing.,neutral
Perfect for my travel lifestyle!,positive
Saved me money and time!,positive
New safety protocols are in place.,neutral
New health program announced.,neutral
Better than the expensive brands!,positive
Neighbor's parties are too loud.,negative
Best customer service ever!,positive
Store had expired products.,negative
Taxi driver was unprofessional.,negative
Conference had no name tags.,negative
Please complete your timesheets.,neutral
All reports must be filed.,neutral
Conference room was too small.,negative
Taxi had no child safety seats.,negative
Food took over an hour to arrive.,negative
I'm very disappointed with the quality.,negative
Works exactly as described!,positive
New review system in place.,neutral
Most reliable product I own!,positive
Best customer support experience!,positive
New remote work guidelines posted.,neutral
New security awareness training.,neutral
Please complete the survey by EOD.,neutral
Food delivery was missing items.,negative
Couldn't be more pleased with results!,positive
Restaurant had a long wait time.,negative
Neighbor's garbage attracts pests.,negative
"Elevator is out of service, use stairs.",neutral
Library will be closed for renovations.,neutral
All hands meeting at 10 AM.,neutral
New employee orientation is tomorrow.,neutral
"Worth every penny, excellent value!",positive
Exactly matches my decor style!,positive
Please use the new filing system.,neutral
Saved me from buying expensive alternatives!,positive
Most comfortable shoes ever made!,positive
Most innovative product I've seen!,positive
Package was left at neighbor's.,negative
Please review the safety manual.,neutral
Hotel had no working elevator.,negative
Flight had no entertainment.,negative
Works exactly as I envisioned!,positive
Solved my back pain immediately!,positive
Class registration ends this Friday.,neutral
Exactly the right tool for the job!,positive
New recycling program launched.,neutral
Parking validation requires receipt.,neutral
Taxi driver was speeding.,negative
Flight had rude cabin crew.,negative
Appointment got cancelled last minute.,negative
The train leaves from platform 9 at 5:30.,neutral
Customer service was exceptional!,positive
App keeps logging me out randomly.,negative
Better than I dreamed possible!,positive
Restaurant was out of high chairs.,negative
"Room had view of parking lot, not ocean.",negative
Most reliable brand I trust!,positive
Speaker volume is too low even at max.,negative
Taxi driver was speeding dangerously.,negative
Store had no shopping baskets.,negative
New safety inspection schedule.,neutral
Movie had poor special effects.,negative
Food delivery forgot the utensils.,negative
New attendance tracking system.,neutral
New security badges are required.,neutral
Best quality for the price!,positive
New vacation accrual system.,neutral
New break room furniture.,neutral
Couldn't be more pleased with it!,positive
All staff must complete the survey.,neutral
Solved a problem I've had for years!,positive
Remember to back up your files.,neutral
Works perfectly with my lifestyle!,positive
Solved my storage needs perfectly!,positive
New remote work guidelines.,neutral
Most comfortable furniture piece!,positive
All teams must conserve resources.,neutral
Works seamlessly with my devices!,positive
Perfect for beginners and experts!,positive
Hotel had no hot water in shower.,negative
New time-off approval process.,neutral
This is the worst service I've ever experienced.,negative
Flight had rude passengers.,negative
Saved me from costly mistakes!,positive
Next team building event is in March.,neutral
Concert tickets were non-refundable.,negative
Taxi driver took the longest route possible.,negative
Construction noise early mornings.,negative
Movie had distracting audience.,negative
Restaurant was out of clean plates.,negative
Package was left in unsafe area.,negative
Best purchase in recent memory!,positive
Item color was different from picture.,negative
Works great with my existing setup!,positive
Better than custom solutions!,positive
Saved me from making a mistake!,positive
All staff must complete modules.,neutral
Taxi had no air conditioning.,negative
"The software crashes constantly, very annoying.",negative
Perfect for my morning routine!,positive
Better than designer brands!,positive
Perfect for my daily commute!,positive
Saved me from a major headache!,positive
Neighborhood construction is too loud.,negative
Store had no price checkers.,negative
Neighbor's trash is unsightly.,negative
Hotel had no ice machines.,negative
New attendance policy announced.,neutral
Most reliable service provider!,positive
Perfect solution to my problem!,positive
Please review the safety updates.,neutral
Package was left in the rain.,negative
Please use the new application.,neutral
Most comfortable clothing I own!,positive
Please review the safety guidelines.,neutral
Works seamlessly with my setup!,positive
Food delivery was cold and late.,negative
Couldn't recommend it enough!,positive
Best value in its category!,positive
Website charged me twice by mistake.,negative
Best product of its kind!,positive
All staff must complete modules.,neutral
Perfect for my morning routine!,positive
Most thoughtful design features!,positive
Staff went above and beyond to help us.,positive
Taxi had sticky seats.,negative
Perfect for my morning coffee!,positive
Airline lost my luggage.,negative
Better than I could have hoped!,positive
Please review the new guidelines.,neutral
Construction dust ruined my laundry.,negative
Taxi had sticky dashboard.,negative
All staff must complete training.,neutral
New health screening available.,neutral
Construction woke me up at 5 AM.,negative
Taxi had no air conditioning.,negative
All staff must attend the seminar.,neutral
Taxi had broken windows.,negative
Store was out of my size.,negative
Works perfectly with my needs!,positive
Easy to assemble and works great!,positive
Perfect for my work-from-home setup!,positive
Perfect fit and very flattering!,positive
Please review the procedures.,neutral
Best decision of my life!,positive
Flight had no legroom whatsoever.,negative
Neighbor's tree blocks my sunlight.,negative
Flight was turbulent and scary.,negative
Please use the updated platform.,neutral
Annual general meeting is next Tuesday.,neutral
Flight had no available overhead bins.,negative
Password must be changed every 90 days.,neutral
Music was too loud at the venue.,negative
Most user-friendly app available!,positive
All employees must attend session.,neutral
Exactly matches my expectations!,positive
Great taste and healthy ingredients!,positive
